Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Osm,ENSMUSG00000058755,Sex,male,1,0.4993,0.4651,-0.4123,1.4109,1.15,2.8e-1,0.7175967313,0.7203601789,0.6710011625,0.1441195482,1.6475933163
Pcbp4,ENSMUSG00000023495,Sex,male,1,-0.5508,0.5133,-1.5568,0.4552,1.15,2.8e-1,0.7178729479,-0.794689385,0.7404910246,0.1439524121,0.5764672746
Gpsm1,ENSMUSG00000026930,Sex,male,1,-0.5971,0.5564,-1.6877,0.4935,1.15,2.8e-1,0.7179056933,-0.861406658,0.8027547908,0.1439326025,0.5504156293
Polr3d,ENSMUSG00000000776,Sex,male,1,0.4534,0.4226,-0.3749,1.2817,1.15,2.8e-1,0.7179075229,0.6541224778,0.6096992889,0.1439314957,1.573658481
Rhag,ENSMUSG00000023926,Sex,male,1,0.3473,0.3237,-0.2872,0.9818,1.15,2.8e-1,0.7179075229,0.501076734,0.4670231013,0.1439314957,1.4152694336
Rbm5,ENSMUSG00000032580,Sex,male,1,-0.1908,0.1780,-0.5396,0.1579,1.15,2.8e-1,0.7182861091,-0.275313903,0.2567299196,0.1437025323,0.8262705178
Fbxw10,ENSMUSG00000090173,Sex,male,1,0.9944,0.9274,-0.8232,2.8120,1.15,2.8e-1,0.7182861091,1.4346631555,1.3378969398,0.1437025323,2.7031904439
6030458C11Rik,ENSMUSG00000022195,Sex,male,1,-0.1783,0.1663,-0.5044,0.1477,1.15,2.8e-1,0.7184145235,-0.257295439,0.2399889231,0.1436248966,0.8366548927
Gm2451,ENSMUSG00000106574,Sex,male,1,0.7692,0.7175,-0.6372,2.1756,1.15,2.8e-1,0.7184398284,1.1097240705,1.0351988815,0.1436095995,2.1580436866
Ahcyl1,ENSMUSG00000027893,Sex,male,1,0.2604,0.2431,-0.2160,0.7368,1.15,2.8e-1,0.7185468493,0.3756464814,0.3506799367,0.1435449106,1.2974208075
Cgref1,ENSMUSG00000029161,Sex,male,1,-1.0218,0.9538,-2.8913,0.8477,1.15,2.8e-1,0.7185468493,-1.474153288,1.3761021481,0.1435449106,0.3599445831
Polr2b,ENSMUSG00000029250,Sex,male,1,0.3546,0.3310,-0.2941,1.0033,1.15,2.8e-1,0.7185468493,0.5116149276,0.4775086516,0.1435449106,1.425645145
Sfxn4,ENSMUSG00000063698,Sex,male,1,-0.5166,0.4823,-1.4619,0.4286,1.15,2.8e-1,0.7185468493,-0.745337047,0.6957975479,0.1435449106,0.5965284925
Gm43096,ENSMUSG00000104882,Sex,male,1,-1.4501,1.3534,-4.1026,1.2025,1.15,2.8e-1,0.7185468493,-2.092018912,1.9524863755,0.1435449106,0.2345522245
Gm48789,ENSMUSG00000111228,Sex,male,1,-0.5103,0.4764,-1.4440,0.4233,1.15,2.8e-1,0.7185468493,-0.736221131,0.6872407984,0.1435449106,0.6003096932
,ENSMUSG00000118400,Sex,male,1,-0.4617,0.4309,-1.3062,0.3827,1.15,2.8e-1,0.7185468493,-0.666161338,0.6216110494,0.1435449106,0.6301812182
