Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Mob4,ENSMUSG00000025979,Sex,male,1,0.0353,0.2638,-0.4817,0.5524,0.02,8.9e-1,0.9837301516,0.0509399383,0.3805905641,0.0071240172,1.0359396348
Mindy3,ENSMUSG00000026767,Sex,male,1,-0.0726,0.5418,-1.1346,0.9894,0.02,8.9e-1,0.9837301516,-0.10475526,0.7817170504,0.0071240172,0.9299626888
Psmd10,ENSMUSG00000031429,Sex,male,1,-0.0392,0.2931,-0.6136,0.5352,0.02,8.9e-1,0.9837301516,-0.056531429,0.4228015434,0.0071240172,0.961573186
Zfp821,ENSMUSG00000031728,Sex,male,1,0.0301,0.2252,-0.4113,0.4714,0.02,8.9e-1,0.9837301516,0.0433733816,0.3248507146,0.0071240172,1.0305206265
2300009A05Rik,ENSMUSG00000032403,Sex,male,1,0.0771,0.5759,-1.0517,1.2058,0.02,8.9e-1,0.9837301516,0.1111642448,0.8308579566,0.0071240172,1.0800995177
Clcn7,ENSMUSG00000036636,Sex,male,1,-0.0236,0.1768,-0.3702,0.3229,0.02,8.9e-1,0.9837301516,-0.034100363,0.2551040733,0.0071240172,0.9766405856
Zfp455,ENSMUSG00000051037,Sex,male,1,-0.1272,0.9490,-1.9872,1.7328,0.02,8.9e-1,0.9837301516,-0.183461192,1.3691108254,0.0071240172,0.8805878283
Cd177,ENSMUSG00000052212,Sex,male,1,-0.0323,0.2415,-0.5057,0.4411,0.02,8.9e-1,0.9837301516,-0.04661289,0.3484578899,0.0071240172,0.9682067854
Zcchc24,ENSMUSG00000055538,Sex,male,1,0.0438,0.3277,-0.5986,0.6861,0.02,8.9e-1,0.9837301516,0.0631362395,0.4728132517,0.0071240172,1.0447344167
Olfr373,ENSMUSG00000061561,Sex,male,1,-0.0778,0.5830,-1.2205,1.0648,0.02,8.9e-1,0.9837301516,-0.112308032,0.8410716547,0.0071240172,0.9251068857
Pde11a,ENSMUSG00000075270,Sex,male,1,-0.1381,1.0257,-2.1483,1.8722,0.02,8.9e-1,0.9837301516,-0.199222794,1.4797037049,0.0071240172,0.8710196711
Olfr362,ENSMUSG00000075377,Sex,male,1,0.1755,1.3049,-2.3820,2.7331,0.02,8.9e-1,0.9837301516,0.2532457133,1.8825711772,0.0071240172,1.1918855539
Mfsd14a,ENSMUSG00000089911,Sex,male,1,-0.0519,0.3871,-0.8105,0.7067,0.02,8.9e-1,0.9837301516,-0.074861607,0.5584153525,0.0071240172,0.9494331923
Lats2,ENSMUSG00000114942,Sex,male,1,0.2485,1.8611,-3.3992,3.8963,0.02,8.9e-1,0.9837301516,0.3585719509,2.6850238315,0.0071240172,1.2821561293
,ENSMUSG00000118252,Sex,male,1,0.2711,2.0167,-3.6816,4.2237,0.02,8.9e-1,0.9837301516,0.3910673532,2.9094690431,0.0071240172,1.3113632347
Cep295nl,ENSMUSG00000076433,Sex,male,1,0.2285,1.7184,-3.1394,3.5964,0.02,8.9e-1,0.9841306843,0.3296641237,2.4790572358,0.0069472271,1.2567207612
Gmcl1,ENSMUSG00000001157,Sex,male,1,0.0473,0.3579,-0.6542,0.7488,0.02,8.9e-1,0.984147496,0.0682775207,0.5163742477,0.0069398082,1.0484641415
Gale,ENSMUSG00000028671,Sex,male,1,-0.0435,0.3290,-0.6883,0.6013,0.02,8.9e-1,0.984147496,-0.062754919,0.4746039637,0.0069398082,0.9574340907
Tnfrsf1a,ENSMUSG00000030341,Sex,male,1,-0.0184,0.1394,-0.2917,0.2549,0.02,8.9e-1,0.984147496,-0.026590718,0.2011713614,0.0069398082,0.9817375363
Oas2,ENSMUSG00000032690,Sex,male,1,0.0400,0.3017,-0.5514,0.6313,0.02,8.9e-1,0.984147496,0.0576834046,0.4352925285,0.0069398082,1.0407931735
Pkd2,ENSMUSG00000034462,Sex,male,1,-0.0945,0.7128,-1.4915,1.3025,0.02,8.9e-1,0.984147496,-0.136345103,1.0283107249,0.0069398082,0.9098211622
Gabbr2,ENSMUSG00000039809,Sex,male,1,-0.1291,0.9766,-2.0432,1.7850,0.02,8.9e-1,0.984147496,-0.186289406,1.4089497313,0.0069398082,0.8788632423
Spen,ENSMUSG00000040761,Sex,male,1,-0.0454,0.3433,-0.7183,0.6275,0.02,8.9e-1,0.984147496,-0.065474894,0.4953167355,0.0069398082,0.9556306996
Cep78,ENSMUSG00000041491,Sex,male,1,-0.0882,0.6647,-1.3911,1.2147,0.02,8.9e-1,0.984147496,-0.127243555,0.9590177814,0.0069398082,0.9155791055
Bivm,ENSMUSG00000041684,Sex,male,1,-0.0957,0.7233,-1.5134,1.3220,0.02,8.9e-1,0.984147496,-0.138059545,1.0435432323,0.0069398082,0.9087406087
Zfp407,ENSMUSG00000048410,Sex,male,1,0.0596,0.4504,-0.8232,0.9424,0.02,8.9e-1,0.984147496,0.0859818408,0.6498357151,0.0069398082,1.0614098489
Fbxo34,ENSMUSG00000037536,Sex,male,1,-0.0816,0.6191,-1.2950,1.1319,0.02,9e-1,0.9841918189,-0.117690154,0.8931909169,0.0069202493,0.9216621094
Dnal1,ENSMUSG00000042523,Sex,male,1,-0.0910,0.6903,-1.4441,1.2620,0.02,9e-1,0.9841918189,-0.131336861,0.9959594852,0.0069202493,0.9129850481
Olfr1469,ENSMUSG00000063777,Sex,male,1,0.0611,0.4638,-0.8478,0.9700,0.02,9e-1,0.9841918189,0.0881393886,0.6690502939,0.0069202493,1.0629983729
Vmn2r116,ENSMUSG00000090966,Sex,male,1,-0.0840,0.6373,-1.3331,1.1650,0.02,9e-1,0.9841918189,-0.121199116,0.9194084838,0.0069202493,0.9194231417
Gm48551,ENSMUSG00000113262,Sex,male,1,0.1846,1.3989,-2.5572,2.9264,0.02,8.9e-1,0.9841918189,0.2663772814,2.0181847282,0.0069202493,1.2027837496
2010111I01Rik,ENSMUSG00000021458,Sex,male,1,0.0755,0.5748,-1.0510,1.2021,0.02,9e-1,0.9843665181,0.1089466297,0.8292419769,0.0068431667,1.0784405357
Rgmb,ENSMUSG00000048027,Sex,male,1,0.0681,0.5179,-0.9470,1.0831,0.02,9e-1,0.9843665181,0.0981864939,0.7471603682,0.0068431667,1.0704270611
2810408A11Rik,ENSMUSG00000018570,Sex,male,1,0.0960,0.7322,-1.3391,1.5312,0.02,9e-1,0.9844775028,0.1385683851,1.0563607162,0.0067942039,1.1008122159
Csdc2,ENSMUSG00000042109,Sex,male,1,-0.1341,1.0232,-2.1395,1.8714,0.02,9e-1,0.9845347493,-0.193418615,1.4761687502,0.0067689508,0.8745309725
Fut10,ENSMUSG00000046152,Sex,male,1,-0.2325,1.7758,-3.7130,3.2479,0.02,9e-1,0.9845347493,-0.33549317,2.5619316057,0.0067689508,0.7925131778
Vmn1r213,ENSMUSG00000060024,Sex,male,1,-0.1171,0.8955,-1.8723,1.6381,0.02,9e-1,0.9845422707,-0.168981496,1.2919698989,0.006765633,0.8894704019
Zfp125,ENSMUSG00000069755,Sex,male,1,-0.0851,0.6504,-1.3598,1.1897,0.02,9e-1,0.9845422707,-0.122720002,0.9383098415,0.006765633,0.9184543985
Egfl8,ENSMUSG00000015467,Sex,male,1,-0.1343,1.0344,-2.1618,1.8932,0.02,9e-1,0.9846733734,-0.193756989,1.4923884595,0.0067078057,0.8743258817
Slc46a1,ENSMUSG00000020829,Sex,male,1,-0.1114,0.8542,-1.7857,1.5629,0.02,9e-1,0.9846733734,-0.160705965,1.2324066715,0.0067078057,0.8945872088
Sla,ENSMUSG00000022372,Sex,male,1,-0.0194,0.1492,-0.3119,0.2731,0.02,9e-1,0.9846733734,-0.027965357,0.2153139235,0.0067078057,0.9808025556
Msh2,ENSMUSG00000024151,Sex,male,1,-0.0480,0.3691,-0.7713,0.6754,0.02,9e-1,0.9846733734,-0.06921957,0.5324428085,0.0067078057,0.9531534696
Ms4a3,ENSMUSG00000024681,Sex,male,1,-0.2415,1.8568,-3.8808,3.3978,0.02,9e-1,0.9846733734,-0.348369318,2.6788218221,0.0067078057,0.7854714168
Sh3tc1,ENSMUSG00000036553,Sex,male,1,-0.0400,0.3076,-0.6429,0.5629,0.02,9e-1,0.9846733734,-0.057685868,0.443762557,0.0067078057,0.9608040463
Dtl,ENSMUSG00000037474,Sex,male,1,-0.0638,0.4901,-1.0244,0.8968,0.02,9e-1,0.9846733734,-0.091993031,0.7070777347,0.0067078057,0.9382257284
Mmp27,ENSMUSG00000070323,Sex,male,1,-0.2113,1.6251,-3.3964,2.9738,0.02,9e-1,0.9846733734,-0.304859482,2.3444938159,0.0067078057,0.8095210595
Rab9,ENSMUSG00000079316,Sex,male,1,-0.0575,0.4407,-0.9211,0.8062,0.02,9e-1,0.9846733734,-0.082895897,0.635747126,0.0067078057,0.9441605461
Gm45420,ENSMUSG00000110313,Sex,male,1,0.0642,0.4918,-0.8997,1.0281,0.02,9e-1,0.9846733734,0.0926314731,0.7095195505,0.0067078057,1.0663133633
AC166323.1,ENSMUSG00000112368,Sex,male,1,0.1374,1.0588,-1.9377,2.2126,0.02,9e-1,0.9846733734,0.1982338906,1.5274800025,0.0067078057,1.147293009
9130208D14Rik,ENSMUSG00000086513,Sex,male,1,0.1091,0.8423,-1.5417,1.7599,0.02,9e-1,0.984796007,0.1574305121,1.2151248742,0.006653721,1.1152989835
Reep6,ENSMUSG00000035504,Sex,male,1,-0.0405,0.3134,-0.6549,0.5738,0.02,9e-1,0.9848221518,-0.058500087,0.4521822487,0.0066421913,0.9602619468
Gm10313,ENSMUSG00000071102,Sex,male,1,0.0525,0.4061,-0.7434,0.8485,0.02,9e-1,0.9848221518,0.0758128298,0.5858628329,0.0066421913,1.053954678
Pdgfb,ENSMUSG00000000489,Sex,male,1,-0.1078,0.8462,-1.7663,1.5506,0.02,9e-1,0.984833259,-0.155566366,1.2207457798,0.0066372932,0.897779858
Id3,ENSMUSG00000007872,Sex,male,1,-0.0614,0.4781,-0.9984,0.8757,0.02,9e-1,0.984833259,-0.088539142,0.6897446744,0.0066372932,0.9404745818
Flt4,ENSMUSG00000020357,Sex,male,1,-0.2136,1.6550,-3.4572,3.0301,0.02,9e-1,0.984833259,-0.308109794,2.3875968001,0.0066372932,0.8076993064
Usp7,ENSMUSG00000022710,Sex,male,1,-0.0263,0.2045,-0.4272,0.3745,0.02,9e-1,0.984833259,-0.038012224,0.2950588309,0.0066372932,0.9739960156
Donson,ENSMUSG00000022960,Sex,male,1,-0.0749,0.5828,-1.2172,1.0674,0.02,9e-1,0.984833259,-0.108068491,0.8408097708,0.0066372932,0.9278294271
Morn1,ENSMUSG00000029049,Sex,male,1,-0.0789,0.6107,-1.2759,1.1181,0.02,9e-1,0.984833259,-0.113806425,0.8810906707,0.0066372932,0.9241465622
Aff1,ENSMUSG00000029313,Sex,male,1,-0.0203,0.1592,-0.3323,0.2918,0.02,9e-1,0.984833259,-0.029229393,0.2296980967,0.0066372932,0.9799435892
Klrd1,ENSMUSG00000030165,Sex,male,1,-0.0783,0.6105,-1.2748,1.1182,0.02,9e-1,0.984833259,-0.112953451,0.880738705,0.0066372932,0.9246931134
Mrps31,ENSMUSG00000031533,Sex,male,1,0.0400,0.3142,-0.5757,0.6558,0.02,9e-1,0.984833259,0.0577284248,0.4532503652,0.0066372932,1.0408256525
Ank2,ENSMUSG00000032826,Sex,male,1,0.0829,0.6487,-1.1885,1.3544,0.02,9e-1,0.984833259,0.1196417619,0.9358996645,0.0066372932,1.086465047
Uaca,ENSMUSG00000034485,Sex,male,1,-0.2069,1.6063,-3.3553,2.9414,0.02,9e-1,0.984833259,-0.298549779,2.31744076,0.0066372932,0.8130692965
Rbm17,ENSMUSG00000037197,Sex,male,1,0.0221,0.1731,-0.3171,0.3613,0.02,9e-1,0.984833259,0.0318603983,0.2496705873,0.0066372932,1.0223296006
Jade3,ENSMUSG00000037315,Sex,male,1,0.1198,0.9350,-1.7128,1.9523,0.02,9e-1,0.984833259,0.1727675935,1.3489079606,0.0066372932,1.1272188117
Kyat3,ENSMUSG00000040213,Sex,male,1,-0.0718,0.5585,-1.1665,1.0229,0.02,9e-1,0.984833259,-0.103617708,0.8058081843,0.0066372932,0.9306962452
Mrps27,ENSMUSG00000041632,Sex,male,1,-0.0260,0.2046,-0.4271,0.3750,0.02,9e-1,0.984833259,-0.037568857,0.2951816492,0.0066372932,0.974295389
Fam174a,ENSMUSG00000051185,Sex,male,1,-0.0624,0.4849,-1.0129,0.8880,0.02,9e-1,0.984833259,-0.090080154,0.6995864788,0.0066372932,0.9394705525
Samd3,ENSMUSG00000051354,Sex,male,1,0.0978,0.7632,-1.3980,1.5936,0.02,9e-1,0.984833259,0.1410854622,1.1010500548,0.0066372932,1.1027344848
A930035D04Rik,ENSMUSG00000052241,Sex,male,1,-0.2216,1.7310,-3.6143,3.1712,0.02,9e-1,0.984833259,-0.319636927,2.497358819,0.0066372932,0.8012715025
Pign,ENSMUSG00000056536,Sex,male,1,0.0459,0.3604,-0.6606,0.7524,0.02,9e-1,0.984833259,0.0662088224,0.5200138153,0.0066372932,1.0469618131
Lst1,ENSMUSG00000073412,Sex,male,1,-0.0269,0.2111,-0.4406,0.3868,0.02,9e-1,0.984833259,-0.038803573,0.3044926883,0.0066372932,0.9734619046
Selenos,ENSMUSG00000075701,Sex,male,1,0.0330,0.2578,-0.4723,0.5383,0.02,9e-1,0.984833259,0.0475947104,0.37192821,0.0066372932,1.0335403478
Ugt1a8,ENSMUSG00000089675,Sex,male,1,-0.4816,3.7815,-7.8932,6.9300,0.02,9e-1,0.984833259,-0.694836899,5.4555452319,0.0066372932,0.6177791563
Alms1-ps2,ENSMUSG00000090098,Sex,male,1,-0.1061,0.8260,-1.7251,1.5128,0.02,9e-1,0.984833259,-0.153079493,1.1916816576,0.0066372932,0.8993287576
Gm6665,ENSMUSG00000091561,Sex,male,1,-0.1890,1.4745,-3.0790,2.7009,0.02,9e-1,0.984833259,-0.272686606,2.1272326213,0.0066372932,0.8277766131
Ighv1-54,ENSMUSG00000094787,Sex,male,1,0.1281,0.9939,-1.8200,2.0762,0.02,9e-1,0.984833259,0.184844085,1.4339570971,0.0066372932,1.1366941218
Gm48498,ENSMUSG00000113961,Sex,male,1,-0.0587,0.4559,-0.9523,0.8348,0.02,9e-1,0.984833259,-0.084733518,0.6577278729,0.0066372932,0.9429586951
,ENSMUSG00000117819,Sex,male,1,-0.1786,1.3965,-2.9156,2.5584,0.02,9e-1,0.984833259,-0.257673291,2.0146617377,0.0066372932,0.8364357955
Rnf32,ENSMUSG00000029130,Sex,male,1,0.1592,1.2524,-2.2954,2.6139,0.02,9e-1,0.9848648751,0.2297141208,1.8068263064,0.0066233512,1.1726025675
Zfp639,ENSMUSG00000027667,Sex,male,1,0.0524,0.4129,-0.7568,0.8616,0.02,9e-1,0.9848701319,0.0756313152,0.5956414698,0.0066210332,1.0538220817
Pbx4,ENSMUSG00000031860,Sex,male,1,0.0845,0.6656,-1.2200,1.3891,0.02,9e-1,0.9848701319,0.1219794135,0.9602665668,0.0066210332,1.0882269132
Dbf4,ENSMUSG00000002297,Sex,male,1,0.0435,0.3504,-0.6431,0.7302,0.02,9e-1,0.9851170853,0.0628002373,0.5054496836,0.0065121487,1.0444911275
Slc9a3r2,ENSMUSG00000002504,Sex,male,1,-0.0715,0.5739,-1.1964,1.0533,0.02,9e-1,0.9851170853,-0.103213079,0.8279897857,0.0065121487,0.930957312
Optc,ENSMUSG00000010311,Sex,male,1,0.2210,1.7719,-3.2518,3.6938,0.02,9e-1,0.9851170853,0.3187692067,2.5562661133,0.0065121487,1.2472660261
Prelid3b,ENSMUSG00000016257,Sex,male,1,0.0366,0.2936,-0.5388,0.6119,0.02,9e-1,0.9851170853,0.0527492735,0.4235100623,0.0065121487,1.0372396586
Dync1h1,ENSMUSG00000018707,Sex,male,1,0.0276,0.2183,-0.4002,0.4553,0.02,9e-1,0.9851170853,0.0397831468,0.3148716946,0.0065121487,1.0279593013
Lrrc6,ENSMUSG00000022375,Sex,male,1,-0.2790,2.2287,-4.6473,4.0892,0.02,9e-1,0.9851170853,-0.40257808,3.2153778063,0.0065121487,0.7565052081
Ifnar1,ENSMUSG00000022967,Sex,male,1,0.0258,0.2060,-0.3779,0.4296,0.02,9e-1,0.9851170853,0.0372907664,0.297199956,0.0065121487,1.0261849458
Rad9a,ENSMUSG00000024824,Sex,male,1,0.0229,0.1838,-0.3372,0.3831,0.02,9e-1,0.9851170853,0.0330787472,0.2651101716,0.0065121487,1.0231933176
Mlph,ENSMUSG00000026303,Sex,male,1,-0.0675,0.5414,-1.1285,0.9935,0.02,9e-1,0.9851170853,-0.097388859,0.7810101732,0.0065121487,0.9347232217
Tnnt2,ENSMUSG00000026414,Sex,male,1,-0.1467,1.1792,-2.4579,2.1645,0.02,9e-1,0.9851170853,-0.211629647,1.7012333826,0.0065121487,0.8635612141
Acvr1,ENSMUSG00000026836,Sex,male,1,-0.1753,1.4124,-2.9435,2.5929,0.02,9e-1,0.9851170853,-0.252930846,2.0376100146,0.0065121487,0.8391898615
Ddx55,ENSMUSG00000029389,Sex,male,1,0.0177,0.1413,-0.2593,0.2946,0.02,9e-1,0.9851170853,0.0254868914,0.2038624457,0.0065121487,1.0178231366
Ddx47,ENSMUSG00000030204,Sex,male,1,-0.0227,0.1803,-0.3761,0.3307,0.02,9e-1,0.9851170853,-0.032710813,0.2601143075,0.0065121487,0.9775817023
Rad51ap1,ENSMUSG00000030346,Sex,male,1,0.0992,0.7972,-1.4633,1.6616,0.02,9e-1,0.9851170853,0.1430566532,1.1500701239,0.0065121487,1.1042422088
Il21r,ENSMUSG00000030745,Sex,male,1,0.0177,0.1425,-0.2617,0.2970,0.02,9e-1,0.9851170853,0.0255077248,0.2056267806,0.0065121487,1.0178378348
Aff2,ENSMUSG00000031189,Sex,male,1,-0.1971,1.5728,-3.2798,2.8855,0.02,9e-1,0.9851170853,-0.284418941,2.2690760405,0.0065121487,0.8210722368
Myom2,ENSMUSG00000031461,Sex,male,1,0.1284,1.0192,-1.8692,2.1261,0.02,9e-1,0.9851170853,0.1852994849,1.4704440587,0.0065121487,1.1370529863
Rdx,ENSMUSG00000032050,Sex,male,1,0.0233,0.1858,-0.3409,0.3875,0.02,9e-1,0.9851170853,0.0336230033,0.2680701037,0.0065121487,1.0235793896
Cdkn2aip,ENSMUSG00000038069,Sex,male,1,-0.0819,0.6568,-1.3693,1.2054,0.02,9e-1,0.9851170853,-0.118176674,0.9476011604,0.0065121487,0.9213513495
Olfml2b,ENSMUSG00000038463,Sex,male,1,-0.1805,1.4421,-3.0071,2.6460,0.02,9e-1,0.9851170853,-0.260425567,2.0805810959,0.0065121487,0.8348416209
Slc35f1,ENSMUSG00000038602,Sex,male,1,0.1354,1.0868,-1.9947,2.2655,0.02,9e-1,0.9851170853,0.1953776322,1.5679409622,0.0065121487,1.1450238368
Skiv2l,ENSMUSG00000040356,Sex,male,1,0.0177,0.1401,-0.2569,0.2923,0.02,9e-1,0.9851170853,0.0255277938,0.2021199012,0.0065121487,1.0178519938
Ppp1ca,ENSMUSG00000040385,Sex,male,1,0.0147,0.1185,-0.2176,0.2470,0.02,9e-1,0.9851170853,0.021229127,0.1709749847,0.0065121487,1.0148237068
Col16a1,ENSMUSG00000040690,Sex,male,1,0.1895,1.5183,-2.7863,3.1653,0.02,9e-1,0.9851170853,0.2733746945,2.1904532311,0.0065121487,1.2086317066
N4bp2l1,ENSMUSG00000041132,Sex,male,1,0.0379,0.3004,-0.5509,0.6267,0.02,9e-1,0.9851170853,0.0547165753,0.4333899892,0.0065121487,1.0386550343
Hic1,ENSMUSG00000043099,Sex,male,1,-0.1395,1.1072,-2.3096,2.0306,0.02,9e-1,0.9851170853,-0.201321868,1.597371989,0.0065121487,0.8697532873
Dynlrb1,ENSMUSG00000047459,Sex,male,1,0.0159,0.1282,-0.2354,0.2672,0.02,9e-1,0.9851170853,0.0229442855,0.1849828993,0.0065121487,1.0160309048
P2ry6,ENSMUSG00000048779,Sex,male,1,-0.0318,0.2546,-0.5308,0.4671,0.02,9e-1,0.9851170853,-0.045941444,0.3672397911,0.0065121487,0.9686575044
Fbxo46,ENSMUSG00000050428,Sex,male,1,-0.0224,0.1800,-0.3752,0.3304,0.02,9e-1,0.9851170853,-0.032314514,0.2596752355,0.0065121487,0.9778502744
Scp2-ps2,ENSMUSG00000058492,Sex,male,1,0.1711,1.3598,-2.4941,2.8363,0.02,9e-1,0.9851170853,0.2468185517,1.9617933025,0.0065121487,1.1865875507
Serpina1c,ENSMUSG00000079015,Sex,male,1,0.2556,2.0385,-3.7398,4.2510,0.02,9e-1,0.9851170853,0.3687169579,2.9409334136,0.0065121487,1.2912040044
Gm16464,ENSMUSG00000082154,Sex,male,1,-0.1759,1.4044,-2.9285,2.5768,0.02,9e-1,0.9851170853,-0.253698147,2.0261641996,0.0065121487,0.8387436552
Vmn1r207-ps,ENSMUSG00000084136,Sex,male,1,-0.0483,0.3889,-0.8106,0.7140,0.02,9e-1,0.9851170853,-0.069690923,0.5611109464,0.0065121487,0.9528421089
Gm6129,ENSMUSG00000113843,Sex,male,1,-0.0622,0.5002,-1.0425,0.9182,0.02,9e-1,0.9851170853,-0.089714411,0.7216126788,0.0065121487,0.9397087509
Vmn1r43,ENSMUSG00000068231,Sex,male,1,-0.0627,0.5055,-1.0534,0.9281,0.02,9e-1,0.9851218672,-0.090397339,0.7292988451,0.0065100406,0.9392640265
Snx27,ENSMUSG00000028136,Sex,male,1,0.0374,0.3034,-0.5572,0.6320,0.02,9e-1,0.9855623113,0.0539846474,0.437669352,0.0063159126,1.0381282231
Gm12403,ENSMUSG00000082186,Sex,male,1,0.0523,0.4241,-0.7790,0.8836,0.02,9e-1,0.9855623113,0.0754363534,0.6118816613,0.0063159126,1.0536796807
Pdzd2,ENSMUSG00000022197,Sex,male,1,-0.1206,0.9791,-2.0397,1.7985,0.02,9e-1,0.9855791656,-0.173988299,1.4125980963,0.0063084857,0.8863888884
Nmnat1,ENSMUSG00000028992,Sex,male,1,-0.0685,0.5562,-1.1587,1.0217,0.02,9e-1,0.9855791656,-0.09879543,0.8024961497,0.0063084857,0.9338123473
Rhbdf1,ENSMUSG00000020282,Sex,male,1,-0.0603,0.4910,-1.0226,0.9020,0.02,9e-1,0.9856786961,-0.087013054,0.70835097,0.0062646299,0.9414699457
Aak1,ENSMUSG00000057230,Sex,male,1,-0.0386,0.3140,-0.6540,0.5768,0.02,9e-1,0.9856786961,-0.055675594,0.4530059269,0.0062646299,0.962143779
St3gal4,ENSMUSG00000032038,Sex,male,1,0.0333,0.2718,-0.4994,0.5659,0.01,9e-1,0.9859335054,0.0480170159,0.3920836895,0.0061523743,1.0338429298
Stap1,ENSMUSG00000029254,Sex,male,1,0.0298,0.2434,-0.4473,0.5069,0.01,9e-1,0.9859838295,0.0429627273,0.3512037016,0.0061302076,1.0302273369
Ctc1,ENSMUSG00000020898,Sex,male,1,-0.0288,0.2359,-0.4911,0.4335,0.01,9e-1,0.9860995336,-0.041548246,0.340262619,0.0060792466,0.9716116904
Map3k12,ENSMUSG00000023050,Sex,male,1,0.0572,0.4685,-0.8611,0.9755,0.01,9e-1,0.9860995336,0.0824928883,0.6759500927,0.0060792466,1.0588460817
Gm44511,ENSMUSG00000107872,Sex,male,1,0.2025,1.6602,-3.0515,3.4565,0.01,9e-1,0.9860999258,0.2921225796,2.3952068007,0.0060790739,1.2244404234
Chtop,ENSMUSG00000001017,Sex,male,1,-0.0183,0.1526,-0.3174,0.2807,0.01,9e-1,0.9861554746,-0.026456396,0.2201410294,0.00605461,0.981828945
Snrnp27,ENSMUSG00000001158,Sex,male,1,-0.0157,0.1313,-0.2730,0.2416,0.01,9e-1,0.9861554746,-0.022666462,0.1894162533,0.00605461,0.9844115826
Otog,ENSMUSG00000009487,Sex,male,1,0.0861,0.7154,-1.3160,1.4882,0.01,9e-1,0.9861554746,0.1241867269,1.0320439615,0.00605461,1.0898931671
Phykpl,ENSMUSG00000020359,Sex,male,1,-0.0447,0.3726,-0.7750,0.6856,0.01,9e-1,0.9861554746,-0.064516351,0.5375521401,0.00605461,0.9562658425
Naprt,ENSMUSG00000022574,Sex,male,1,0.0363,0.3012,-0.5540,0.6266,0.01,9e-1,0.9861554746,0.0524122391,0.4345167851,0.00605461,1.0369973728
Thbs2,ENSMUSG00000023885,Sex,male,1,-0.2196,1.8270,-3.8005,3.3613,0.01,9e-1,0.9861554746,-0.316797619,2.6358431896,0.00605461,0.8028500045
Tmem138,ENSMUSG00000024666,Sex,male,1,-0.0573,0.4794,-0.9969,0.8822,0.01,9e-1,0.9861554746,-0.082735944,0.6915684208,0.00605461,0.9442652321
Terf1,ENSMUSG00000025925,Sex,male,1,-0.0304,0.2520,-0.5243,0.4634,0.01,9e-1,0.9861554746,-0.043924742,0.363518773,0.00605461,0.9700125093
Kdelc1,ENSMUSG00000026047,Sex,male,1,-0.0910,0.7541,-1.5691,1.3870,0.01,9e-1,0.9861554746,-0.131350921,1.0879397385,0.00605461,0.9129761506
Ctso,ENSMUSG00000028015,Sex,male,1,-0.0337,0.2818,-0.5860,0.5185,0.01,9e-1,0.9861554746,-0.048642044,0.4064898087,0.00605461,0.9668459577
Zkscan14,ENSMUSG00000029627,Sex,male,1,0.0280,0.2329,-0.4285,0.4845,0.01,9e-1,0.9861554746,0.0404547763,0.3360243772,0.00605461,1.0284379669
Ate1,ENSMUSG00000030850,Sex,male,1,-0.0454,0.3774,-0.7851,0.6943,0.01,9e-1,0.9861554746,-0.065488963,0.544478119,0.00605461,0.9556213805
Tacc3,ENSMUSG00000037313,Sex,male,1,-0.0416,0.3479,-0.7236,0.6403,0.01,9e-1,0.9861554746,-0.060048904,0.5019770905,0.00605461,0.9592316033
Susd1,ENSMUSG00000038578,Sex,male,1,0.0221,0.1851,-0.3405,0.3848,0.01,9e-1,0.9861554746,0.0319539402,0.2669746636,0.00605461,1.0223958888
Zc3h12a,ENSMUSG00000042677,Sex,male,1,-0.0275,0.2282,-0.4747,0.4198,0.01,9e-1,0.9861554746,-0.039610648,0.3291967533,0.00605461,0.972917481
Tmem18,ENSMUSG00000043061,Sex,male,1,-0.0726,0.6030,-1.2545,1.1092,0.01,9e-1,0.9861554746,-0.10481135,0.8699733635,0.00605461,0.9299265339
Pou3f3,ENSMUSG00000045515,Sex,male,1,0.0494,0.4103,-0.7548,0.8536,0.01,9e-1,0.9861554746,0.0712419139,0.5919384529,0.00605461,1.0506206994
Cmtr2,ENSMUSG00000046441,Sex,male,1,-0.0933,0.7760,-1.6144,1.4277,0.01,9e-1,0.9861554746,-0.134674897,1.1196029576,0.00605461,0.910875071
Usp14,ENSMUSG00000047879,Sex,male,1,0.0271,0.2261,-0.4160,0.4703,0.01,9e-1,0.9861554746,0.0391091479,0.326197123,0.00605461,1.0274791709
Gng7,ENSMUSG00000048240,Sex,male,1,0.1033,0.8624,-1.5871,1.7936,0.01,9e-1,0.9861554746,0.1489852532,1.2442154862,0.00605461,1.1087893098
Kif18b,ENSMUSG00000051378,Sex,male,1,-0.1070,0.8821,-1.8360,1.6219,0.01,9e-1,0.9861554746,-0.154422582,1.2726682513,0.00605461,0.8984919095
Cstf2t,ENSMUSG00000053536,Sex,male,1,-0.0384,0.3178,-0.6613,0.5844,0.01,9e-1,0.9861554746,-0.055463913,0.4584779549,0.00605461,0.962284961
Zfp993,ENSMUSG00000063245,Sex,male,1,0.0665,0.5504,-1.0123,1.1454,0.01,9e-1,0.9861554746,0.0959968753,0.7941118325,0.00605461,1.0688036763
Olfr742,ENSMUSG00000068431,Sex,male,1,0.0787,0.6484,-1.1921,1.3495,0.01,9e-1,0.9861554746,0.113561926,0.9353916193,0.00605461,1.0818960771
